Sr_No,Case_No,Case_Title,Case_Subject,Author_Judge,Upload_Date,Judgment_Date,Citations,SC_Citations,PDF_URL,Filename,Download_Status,Timestamp
11,C.P.L.A.5666/2024,Muhammad Ayub and others v. Muhammad Rahman and others,Rent/Default in Payment of Rent,Mr. Justice Salahuddin Panhwar,29-09-2025,29-09-2025,N/A,2025 SCP 349,https://www.supremecourt.gov.pk/downloads_judgements/c.p._5666_2024.pdf,C.P.L.A.5666_2024.pdf,Success,2025-10-05T14:04:14.047989
12,C.P.22/2025,"Justice Mohsin Akhtar Kayani, Judge, Islamabad High Court, Islamabad and others v. The President of Pakistan, Pak Secretariat, Islamabad and others",U/A 184(3),Mr. Justice Muhammad Ali Mazhar,25-09-2025,18-09-2025,N/A,2025 SCP 348,https://www.supremecourt.gov.pk/downloads_judgements/const.p._22_2025_25092025.pdf,C.P.22_2025.pdf,Already exists,2025-10-05T14:04:14.364169
13,C.P.22/2025,"Justice Mohsin Akhtar Kayani, Judge, Islamabad High Court, Islamabad and others v. The President of Pakistan, Pak Secretariat, Islamabad and others",U/A 184(3),Mr. Justice Salahuddin Panhwar,25-09-2025,18-09-2025,N/A,2025 SCP 347,https://www.supremecourt.gov.pk/downloads_judgements/const.p._22_2025_25092025_cn.pdf,C.P.22_2025.pdf,Already exists,2025-10-05T14:04:14.666336
14,Crl.I.C.A.1/2025,"Nazar Abbas, Additional Registrar (Judicial) presently OSD Supreme Court of Pakistan v. The State",Against Interim Order/Against Interim Order,(1) Mr. Justice Athar Minallah (2) Mr. Justice Shahid Waheed,25-09-2025,27-01-2025,N/A,2025 SCP 346,https://www.supremecourt.gov.pk/downloads_judgements/crl.i.c.a._1_2025_dn.pdf,Crl.I.C.A.1_2025.pdf,Success,2025-10-05T14:04:15.747504
15,Crl.I.C.A.1/2025,"Nazar Abbas, Additional Registrar (Judicial) presently OSD Supreme Court of Pakistan v. The State",Against Interim Order/Against Interim Order,Mr. Justice Jamal Khan Mandokhail,24-09-2025,23-09-2025,N/A,2025 SCP 345,https://www.supremecourt.gov.pk/downloads_judgements/crl.i.c.a._1_2025.pdf,Crl.I.C.A.1_2025.pdf,Already exists,2025-10-05T14:04:16.051604
16,J.P.473/2018,Iftikhar @ Puppi v. The State,Life Imprisonment/Life Imprisonment,Mr. Justice Irfan Saadat Khan,24-09-2025,10-09-2025,N/A,2025 SCP 344,https://www.supremecourt.gov.pk/downloads_judgements/j.p._473_2018.pdf,J.P.473_2018.pdf,Success,2025-10-05T14:04:17.442865
17,J.P.470/2020,Wazir v. The State,Life Imprisonment/Sessions,Mr. Justice Irfan Saadat Khan,24-09-2025,17-09-2025,N/A,2025 SCP 343,https://www.supremecourt.gov.pk/downloads_judgements/j.p._470_2020.pdf,J.P.470_2020.pdf,Success,2025-10-05T14:04:18.839065
18,J.P.813/2017,Bashir Ahmad @ Phero v. The State,Life Imprisonment/Life Imprisonment,Mr. Justice Irfan Saadat Khan,24-09-2025,30-06-2025,N/A,2025 SCP 342,https://www.supremecourt.gov.pk/downloads_judgements/j.p._813_2017.pdf,J.P.813_2017.pdf,Success,2025-10-05T14:04:20.371515
19,C.P.L.A.4649/2022,Muhammad Mushtaq v. Malik Mumtaz (deceased) thr. LRs. and others,Declaration/Possession through pre-emption,Mr. Justice Shahid Waheed,23-09-2025,12-09-2025,N/A,2025 SCP 341,https://www.supremecourt.gov.pk/downloads_judgements/c.p._4649_2022.pdf,C.P.L.A.4649_2022.pdf,Success,2025-10-05T14:04:21.167503
20,Crl.P.L.A.974-L/2025,Muzzamil Hussain v. The State thr P G Punjab Lahore and another,Bail After Arrest/Sessions,Mr. Justice Salahuddin Panhwar,23-09-2025,16-09-2025,N/A,2025 SCP 340,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._974_l_2025.pdf,Crl.P.L.A.974-L_2025.pdf,Success,2025-10-05T14:04:21.912748
21,C.P.L.A.4168/2021,"Commissioner Inland Revenue, Regional Tax Office, Peshawar v. M/s Cherat Cement Company Ltd Nowshera",Tax/Sales Tax Act,Mr. Justice Munib Akhtar,23-09-2025,23-09-2025,N/A,2025 SCP 339,https://www.supremecourt.gov.pk/downloads_judgements/c.p._4168_2021.pdf,C.P.L.A.4168_2021.pdf,Success,2025-10-05T14:04:22.735824
22,I.C.A.5/2023,"Shuhada Forum, Balochistan through its Patron in Chief, Nawabzada Jamal Raisani, Quetta Cantt and others v. Justice (R) Jawwad S. Khawaja and others",Miscellaneous,Mr. Justice Amin-Ud-Din Khan,22-09-2025,07-05-2025,N/A,2025 SCP 338,https://www.supremecourt.gov.pk/downloads_judgements/i.c.a._5_2023_220925.pdf,I.C.A.5_2023.pdf,Success,2025-10-05T14:04:24.015034
23,I.C.A.5/2023,"Shuhada Forum, Balochistan through its Patron in Chief, Nawabzada Jamal Raisani, Quetta Cantt and others v. Justice (R) Jawwad S. Khawaja and others",Miscellaneous,Mr. Justice Muhammad Ali Mazhar,22-09-2025,07-05-2025,N/A,2025 SCP 337,https://www.supremecourt.gov.pk/downloads_judgements/i.c.a._5_20223_conj_22092025.pdf,I.C.A.5_2023.pdf,Already exists,2025-10-05T14:04:24.316295
24,Crl.A.40-K/2022,Mir Muhammad @ Kuraro & another v. The State,Life Imprisonment/Sessions,Mr. Justice Athar Minallah,22-09-2025,22-09-2025,N/A,2025 SCP 336,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._40_k_2022.pdf,Crl.A.40-K_2022.pdf,Success,2025-10-05T14:04:25.160134
25,C.A.132-L/2013,"Mrs. Tasneem Abbas v. The Learned Additional District Judge, Lahore, etc",Rent,Mr. Justice Miangul Hassan Aurangzeb,20-09-2025,10-09-2025,N/A,2025 SCP 335,https://www.supremecourt.gov.pk/downloads_judgements/c.a._132_l_2013.pdf,C.A.132-L_2013.pdf,Success,2025-10-05T14:04:26.563911
26,Crl.P.L.A.745/2025,Abid v. The State through Prosecutor General Punjab and another,Bail After Arrest,Mr. Justice Muhammad Ali Mazhar,19-09-2025,09-07-2025,N/A,2025 SCP 334,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._745_2025.pdf,Crl.P.L.A.745_2025.pdf,Success,2025-10-05T14:04:27.313915
27,C.P.L.A.5516/2024,Mst. Shaista Hussain v. Farzana Naheed and others,Rent/Default in Payment of Rent,Mr. Justice Miangul Hassan Aurangzeb,19-09-2025,11-09-2025,N/A,2025 SCP 333,https://www.supremecourt.gov.pk/downloads_judgements/c.p._5516_2024.pdf,C.P.L.A.5516_2024.pdf,Success,2025-10-05T14:04:28.754084
28,Crl.P.L.A.39-K/2025,Syed Basit Hyder Taqvi v. The State,Bail Before Arrest/Bail Before Arrest,Mr. Justice Muhammad Hashim Khan Kakar,19-09-2025,30-06-2025,N/A,2025 SCP 332,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._39_k_2025.pdf,Crl.P.L.A.39-K_2025.pdf,Success,2025-10-05T14:04:30.000870
29,J.P.375/2023,Gul Muhammad & 2 others v. The State,Life Imprisonment/Narcotic Substance Case,Mr. Justice Ishtiaq Ibrahim,19-09-2025,15-09-2025,N/A,2025 SCP 331,https://www.supremecourt.gov.pk/downloads_judgements/j.p._375_2023.pdf,J.P.375_2023.pdf,Success,2025-10-05T14:04:31.264163
30,J.P.611/2022,1. Tahseen Ullah 2. Salman Khan v. The State,Death Sentence/Sessions,Mr. Justice Ishtiaq Ibrahim,19-09-2025,18-08-2025,N/A,2025 SCP 330,https://www.supremecourt.gov.pk/downloads_judgements/j.p._611_2022.pdf,J.P.611_2022.pdf,Success,2025-10-05T14:04:32.639759
31,Crl.A.351/2023,"Saddam Kakar v. The State thr. Deputy Prosecutor General, Sindh",Life Imprisonment/Anti-Terrorism Act,Mr. Justice Malik Shahzad Ahmad Khan,19-09-2025,09-09-2025,N/A,2025 SCP 329,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._351_2023.pdf,Crl.A.351_2023.pdf,Success,2025-10-05T14:04:33.392161
32,Crl.P.L.A.868/2025,Asad Khalil v. The State thr. PG Punjab and another,Bail After Arrest,Mr. Justice Malik Shahzad Ahmad Khan,19-09-2025,04-09-2025,N/A,2025 SCP 328,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._868_2025.pdf,Crl.P.L.A.868_2025.pdf,Success,2025-10-05T14:04:34.074168
33,J.P.276/2019,Sardar Khan and Amjad Ali v. The State,Life Imprisonment/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,19-09-2025,04-09-2025,N/A,2025 SCP 327,https://www.supremecourt.gov.pk/downloads_judgements/j.p._276_2019.pdf,J.P.276_2019.pdf,Success,2025-10-05T14:04:34.937728
34,J.P.286/2020,Jahangir @ Jangu v. The State,Life Imprisonment/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,19-09-2025,03-09-2025,N/A,2025 SCP 326,https://www.supremecourt.gov.pk/downloads_judgements/j.p._286_2020.pdf,J.P.286_2020.pdf,Success,2025-10-05T14:04:35.747561
35,Crl.A.343/2023,Sikandar Ali Lashari v. The State thr. PG Sindh,Death Sentence/Anti-Terrorism Act,Mr. Justice Malik Shahzad Ahmad Khan,19-09-2025,10-09-2025,N/A,2025 SCP 325,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._343_2023.pdf,Crl.A.343_2023.pdf,Success,2025-10-05T14:04:36.575738
36,C.P.L.A.2313/2024,Abdul Ghani and others v. Mst. Alam Bibi and another,Execution Petitions / Proceedings/Execution Petitions / Proceedings,Mr. Justice Syed Hasan Azhar Rizvi,18-09-2025,01-09-2025,N/A,2025 SCP 324,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2313_2024.pdf,C.P.L.A.2313_2024.pdf,Success,2025-10-05T14:04:37.341185
37,C.A.1388/2017,"Haseeb Waqas Sugar Mills Limited, through its Authorized Representative v. Govt. of Pakistan through its Secretary Finance, etc",Tax/Sales Tax Act,Mr. Justice Muhammad Shafi Siddiqui,17-09-2025,09-09-2025,N/A,2025 SCP 323,https://www.supremecourt.gov.pk/downloads_judgements/c.a._1388_2017.pdf,C.A.1388_2017.pdf,Success,2025-10-05T14:04:38.102059
38,Crl.P.L.A.147-K/2025,Ali Adnan Sheikha v. I.G Police Sheikh & others,Registration of FIR/Registration of FIR,Mr. Justice Aqeel Ahmed Abbasi,17-09-2025,05-09-2025,N/A,2025 SCP 322,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._147_k_2025.pdf,Crl.P.L.A.147-K_2025.pdf,Success,2025-10-05T14:04:39.099268
39,C.P.L.A.706/2021,"Muhammad Abid v. Government of Khyber Pakhtunkhwa through Secretary Excise, Taxation & Narcotics Control Department, Peshawar & others",Service/Termination from Service,Mr. Justice Muhammad Ali Mazhar,15-09-2025,01-07-2025,N/A,2025 SCP 321,https://www.supremecourt.gov.pk/downloads_judgements/c.p._706_2021.pdf,C.P.L.A.706_2021.pdf,Success,2025-10-05T14:04:39.962983
40,C.P.L.A.5929/2024,"M/s F.C. Security Services Pvt Ltd, Peshawar Cantt v. Commissioner Inland Revenue, Peshawar",Tax/Income Tax,Mr. Justice Muhammad Shafi Siddiqui,13-09-2025,02-09-2025,N/A,2025 SCP 320,https://www.supremecourt.gov.pk/downloads_judgements/c.p._5929_2024.pdf,C.P.L.A.5929_2024.pdf,Success,2025-10-05T14:04:40.683277
41,C.P.L.A.339-L/2023,"Commissioner Inland Revenue, Lahore v. M/s Seven Star Sugar Mills Pvt Limited, Karachi",Tax/Income Tax,Mr. Justice Muhammad Shafi Siddiqui,13-09-2025,01-09-2025,N/A,2025 SCP 319,https://www.supremecourt.gov.pk/downloads_judgements/c.p._339_l_2023.pdf,C.P.L.A.339-L_2023.pdf,Success,2025-10-05T14:04:41.409704
42,C.P.L.A.407-K/2021,Syed Saad Ali & another v. Federation of Pakistan through Secretary Ministry & others,Writ Petition/Service,Mr. Justice Muhammad Ali Mazhar,12-09-2025,12-06-2025,N/A,2025 SCP 318,https://www.supremecourt.gov.pk/downloads_judgements/c.p._407_k_2021.pdf,C.P.L.A.407-K_2021.pdf,Success,2025-10-05T14:04:42.235263
43,Crl.P.L.A.219-P/2023,"Irshad Khan v. The State through Advocate General, Khyber Pakhtunkhwa.",Life Imprisonment/Narcotic Substance Case,Mr. Justice Shakeel Ahmad,12-09-2025,12-08-2025,N/A,2025 SCP 317,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._219_p_2023.pdf,Crl.P.L.A.219-P_2023.pdf,Success,2025-10-05T14:04:43.030518
44,C.P.L.A.2555/2022,Mst. Wajiha Rasheed v. Adeel Akhter and others,Family / Guardian & Wards/Recovery of Dower Amount,Mr. Justice Miangul Hassan Aurangzeb,11-09-2025,09-09-2025,N/A,2025 SCP 316,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2555_2022.pdf,C.P.L.A.2555_2022.pdf,Success,2025-10-05T14:04:44.143278
45,Crl.P.L.A.585/2025,Muhammad Irshad etc v. The State through P.G. Punjab and others,Bail Before Arrest,Mr. Justice Malik Shahzad Ahmad Khan,11-09-2025,02-09-2025,N/A,2025 SCP 315,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._585_2025.pdf,Crl.P.L.A.585_2025.pdf,Success,2025-10-05T14:04:44.797626
46,J.P.554/2023,Umer Jan v. The State,Life Imprisonment/Sessions,Mr. Justice Ishtiaq Ibrahim,11-09-2025,19-08-2025,N/A,2025 SCP 314,https://www.supremecourt.gov.pk/downloads_judgements/j.p._554_2023.pdf,J.P.554_2023.pdf,Success,2025-10-05T14:04:46.099328
47,Crl.P.L.A.1408/2025,Waqas Javed v. The State thr Federal Prosecutor Islamabad and another,Bail After Arrest/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,11-09-2025,02-09-2025,N/A,2025 SCP 313,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1408_2025.pdf,Crl.P.L.A.1408_2025.pdf,Success,2025-10-05T14:04:46.904772
48,J.P.559/2017,Rasheed Ahmad @ Sheeda v. The State,Life Imprisonment/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,11-09-2025,20-08-2025,N/A,2025 SCP 312,https://www.supremecourt.gov.pk/downloads_judgements/j.p._559_2017.pdf,J.P.559_2017.pdf,Success,2025-10-05T14:04:47.721554
49,J.P.614/2021,Shahid Iqbal v. The State,Life Imprisonment/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,11-09-2025,25-08-2025,N/A,2025 SCP 311,https://www.supremecourt.gov.pk/downloads_judgements/j.p._614_2021.pdf,J.P.614_2021.pdf,Success,2025-10-05T14:04:48.469938
50,J.P.541/2021,Muhammad Ali v. The State,Life Imprisonment/Sessions,Mr. Justice Malik Shahzad Ahmad Khan,11-09-2025,27-08-2025,N/A,2025 SCP 310,https://www.supremecourt.gov.pk/downloads_judgements/j.p._541_2021.pdf,J.P.541_2021.pdf,Success,2025-10-05T14:04:49.345481
51,Crl.P.L.A.1055/2025,"Binyameen v. The State through Advocate General, Khyber Pakhtunkhwa and another",Bail After Arrest/Bail After Arrest,Mr. Justice Naeem Akhter Afghan,11-09-2025,28-08-2025,N/A,2025 SCP 309,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1055_2025.pdf,Crl.P.L.A.1055_2025.pdf,Success,2025-10-05T14:04:50.457043
52,C.P.L.A.1107-L/2015,"Ambreen Akram v. Asad Ullah Khan, etc",Family / Guardian & Wards/Maintenance Allowance,Mr. Justice Syed Mansoor Ali Shah,11-09-2025,11-09-2025,N/A,2025 SCP 308,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1107_l_2015.pdf,C.P.L.A.1107-L_2015.pdf,Success,2025-10-05T14:04:51.488616
53,C.P.L.A.1032-K/2025,Dr. Muhammad Bashir Qasim through legal heirs v. Gulzar Mehmood & 2 Others,Rent/Ejectment,Mr. Justice Irfan Saadat Khan,10-09-2025,01-09-2025,N/A,2025 SCP 307,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1032_k_2025.pdf,C.P.L.A.1032-K_2025.pdf,Success,2025-10-05T14:04:53.130548
54,C.P.L.A.74/2025,Shafaqat Ali v. Mst. Zaib un Nisa and others,Family / Guardian & Wards/Maintenance Allowance,Mr. Justice Syed Hasan Azhar Rizvi,08-09-2025,20-08-2025,N/A,2025 SCP 306,https://www.supremecourt.gov.pk/downloads_judgements/c.p._74_2025.pdf,C.P.L.A.74_2025.pdf,Success,2025-10-05T14:04:53.876888
55,C.P.L.A.147-K/2023,Qazi Khalid Ali v. Federation of Pakistan through its Secretary Ministry of Law and Justice Government of Pakistan & others,Writ Petition/Service,Mr. Justice Muhammad Ali Mazhar,05-09-2025,12-06-2025,N/A,2025 SCP 305,https://www.supremecourt.gov.pk/downloads_judgements/c.p._147_k_2023.pdf,C.P.L.A.147-K_2023.pdf,Success,2025-10-05T14:04:54.714381
56,C.P.L.A.78-K/2024,The Collector of Customs v. M/s Al-Amna International,Tax/Sales Tax Act,(1) Mr. Justice Yahya Afridi (2) Mr. Justice Muhammad Shafi Siddiqui,05-09-2025,05-09-2025,N/A,2025 SCP 304,https://www.supremecourt.gov.pk/downloads_judgements/c.p._78_k_2024.pdf,C.P.L.A.78-K_2024.pdf,Success,2025-10-05T14:04:55.613117
57,C.P.L.A.385-L/2021,"Province of Punjab through the District Collector, Bhakkar v. Muhammad Chiragh, etc",Suit for specific performance/Agreement to sell,Mr. Justice Shahid Waheed,05-09-2025,22-08-2025,N/A,2025 SCP 303,https://www.supremecourt.gov.pk/downloads_judgements/c.p._385_l_2021.pdf,C.P.L.A.385-L_2021.pdf,Success,2025-10-05T14:04:56.359726
58,C.A.101-K/2022,Province of Sindh through Land Acquisition Officer v. Abdul Tawab & others,Land Acquisition/Award/Compensation,Mr. Justice Muhammad Ali Mazhar,30-08-2025,13-06-2025,N/A,2025 SCP 302,https://www.supremecourt.gov.pk/downloads_judgements/c.a._101_k_2022.pdf,C.A.101-K_2022.pdf,Success,2025-10-05T14:04:57.143678
59,Crl.P.L.A.1144/2025,Muhammad Shakeel v. The State thr. P.G. Punjab and another,Bail After Arrest/Bail After Arrest,Mr. Justice Naeem Akhter Afghan,30-08-2025,27-08-2025,N/A,2025 SCP 301,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1144_2025_27082025.pdf,Crl.P.L.A.1144_2025.pdf,Success,2025-10-05T14:04:57.889720
60,C.P.L.A.110/2023,"M/s Commander Agro (Private) Limited through Chief Executive, Multan v. Customs Appellate Tribunal Bench-I, Lahore",Customs/Customs,Mr. Justice Muhammad Shafi Siddiqui,28-08-2025,28-08-2025,N/A,2025 SCP 300,https://www.supremecourt.gov.pk/downloads_judgements/c.p._110_2023.pdf,C.P.L.A.110_2023.pdf,Success,2025-10-05T14:04:58.565757
61,C.P.L.A.1002/2025,"Federal Board of Revenue through its Secretary (Legal HR), FBR, Islamabad v. Naureen Ahmad Tarar and others",Service/Seniority,Mr. Justice Aqeel Ahmed Abbasi,27-08-2025,19-06-2025,N/A,2025 SCP 299,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1002_2025.pdf,C.P.L.A.1002_2025.pdf,Success,2025-10-05T14:04:59.811248
62,Crl.P.L.A.1033/2025,Sahad v. Mst. Afsheen and another,Bail After Arrest/Bail After Arrest,Mr. Justice Syed Hasan Azhar Rizvi,25-08-2025,18-08-2025,N/A,2025 SCP 298,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1033_2025.pdf,Crl.P.L.A.1033_2025.pdf,Success,2025-10-05T14:05:00.536970
63,C.P.L.A.4-K/2025,Province of Sindh & others v. Amanullah & others,Writ Petition/Service,Mr. Justice Muhammad Ali Mazhar,23-08-2025,05-06-2025,N/A,2025 SCP 297,https://www.supremecourt.gov.pk/downloads_judgements/c.p._4_k_2025.pdf,C.P.L.A.4-K_2025.pdf,Success,2025-10-05T14:05:01.477192
64,Crl.P.L.A.966/2018,Sardar Hussain v. The State thr. P.G.A. & another,Upto 5 years/Upto 5 years,Mr. Justice Irfan Saadat Khan,22-08-2025,16-06-2025,N/A,2025 SCP 296,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._966_2018.pdf,Crl.P.L.A.966_2018.pdf,Success,2025-10-05T14:05:03.073813
65,Crl.P.L.A.1184/2025,"Imran Ahmad Khan Niazi v. The State through Prosecutor General Punjab, Lahore and another",Bail After Arrest/Bail After Arrest,Mr. Justice Yahya Afridi,21-08-2025,21-08-2025,N/A,2025 SCP 295,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1184_2025.pdf,Crl.P.L.A.1184_2025.pdf,Success,2025-10-05T14:05:03.838031
66,C.P.L.A.3-K/2023,"Mst. Tahira Begum & others v. Federation of Pakistan through its Secretary Ministry of Religious Affairs & Interfaith Harmony, Government of Pakistan & others",Evacuee Trust Property/Evacuee Trust Property,Mr. Justice Muhammad Ali Mazhar,21-08-2025,02-06-2025,N/A,2025 SCP 294,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3_k_2023.pdf,C.P.L.A.3-K_2023.pdf,Success,2025-10-05T14:05:04.675080
67,C.P.L.A.2788/2022,Khurrum Javed and another v. Ahmed Bilal & others,Guardian and Ward/Appointment of Guardian,Mr. Justice Miangul Hassan Aurangzeb,21-08-2025,30-06-2025,N/A,2025 SCP 293,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2788_2022.pdf,C.P.L.A.2788_2022.pdf,Success,2025-10-05T14:05:05.903834
68,C.A.209/2025,Muhammad Zaffar Khan & another v. Syeda Shumaila Zaidi & others,Declaration/Possession,Mr. Justice Ali Baqar Najafi,21-08-2025,08-05-2025,N/A,2025 SCP 292,https://www.supremecourt.gov.pk/downloads_judgements/c.a._209_2025.pdf,C.A.209_2025.pdf,Success,2025-10-05T14:05:07.349338
69,Crl.P.L.A.1121/2021,Qaiser Jabbar v. Syed Mati Ullah Shah and others,Illegal Dispossession/Illegal Dispossession,Mr. Justice Miangul Hassan Aurangzeb,21-08-2025,08-08-2025,N/A,2025 SCP 291,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._1121_2021_02062025.pdf,Crl.P.L.A.1121_2021.pdf,Success,2025-10-05T14:05:08.117841
70,J.P.252/2020,Rehmat Ali v. The State,Life Imprisonment/Sessions,Mr. Justice Ali Baqar Najafi,21-08-2025,26-05-2025,N/A,2025 SCP 290,https://www.supremecourt.gov.pk/downloads_judgements/j.p._252_2020.pdf,J.P.252_2020.pdf,Success,2025-10-05T14:05:09.531883
71,Crl.P.L.A.433/2025,Zahid Nawaz v. The State thr. P.G. Punjab and another,Other Sentences/9 Years R.I.,Mr. Justice Muhammad Hashim Khan Kakar,21-08-2025,16-06-2025,N/A,2025 SCP 289,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._433_2025.pdf,Crl.P.L.A.433_2025.pdf,Success,2025-10-05T14:05:10.868729
72,Crl.P.L.A.960/2025,Aqeel Ahmed Khan v. The State thr. Federal P. G Islamabad and another,Bail After Arrest,Mr. Justice Athar Minallah,21-08-2025,12-08-2025,N/A,2025 SCP 288,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._960_2025.pdf,Crl.P.L.A.960_2025.pdf,Success,2025-10-05T14:05:12.042014
73,C.P.L.A.3824/2023,M/s Mobiserve Pakistan (Pvt) Limited v. M/s V-Tech & others,"Application under section 12(2), CPC/Application under section 12(2), CPC",Mr. Justice Shahid Bilal Hassan,18-08-2025,29-07-2025,N/A,2025 SCP 287,https://www.supremecourt.gov.pk/downloads_judgements/c.p._3824_2023.pdf,C.P.L.A.3824_2023.pdf,Success,2025-10-05T14:05:13.183729
